left,right,distance,consensus,airport,fuel,capacity,left_demand,right_demand,separate_seats,combined_seats,saved_seats,combined_utilization
F013,F043,0.018867924528301883,0.0,0.5573584905660378,0.9030188679245283,0.11716981132075471,31,30,62,62,0,0.9838709677419355
F013,F044,0.0135849056603774,0.0,0.4766037735849057,0.6988679245283018,0.13622641509433964,31,34,66,66,0,0.9848484848484849
F013,F045,0.030188679245283012,0.0,0.39924528301886797,0.9328301886792453,0.34641509433962264,31,35,66,66,0,1.0
F013,F046,0.10188679245283017,0.0,0.20339622641509436,0.2516981132075472,0.7460377358490566,31,20,55,51,4,1.0
F013,F047,0.09999999999999998,0.0,0.24867924528301888,0.7256603773584906,0.4420754716981132,31,23,55,54,1,1.0
F013,F048,0.05207547169811322,0.0,0.33698113207547165,0.9328301886792453,0.34641509433962264,31,32,63,63,0,1.0
F013,F049,0.08490566037735847,0.0,0.24188679245283018,0.7256603773584906,0.5615094339622642,31,33,66,64,2,1.0
F013,F050,0.0,0.0,0.14830188679245282,0.8784905660377358,0.09433962264150947,31,27,59,59,0,0.9830508474576272
F013,F051,0.03471698113207544,0.0,0.48226415094339625,0.9328301886792453,0.5615094339622642,31,33,66,64,2,1.0
F013,F052,0.06830188679245286,0.0,0.3584905660377359,0.9328301886792453,0.09433962264150947,31,27,59,59,0,0.9830508474576272
F014,F015,0.9633962264150944,1.0,0.7090566037735849,0.659622641509434,0.4420754716981132,28,23,52,51,1,1.0
F014,F016,0.8781132075471698,0.7058224433035845,0.9471698113207547,0.9864150943396226,0.2888679245283019,28,25,56,54,2,0.9814814814814815
F014,F017,0.9233962264150943,0.854905755095559,0.8626415094339622,0.9864150943396226,0.4420754716981132,28,27,56,55,1,1.0
F014,F018,0.8656603773584906,0.7843564518281836,0.72,0.6003773584905661,0.13622641509433964,28,37,66,66,0,0.9848484848484849
F014,F019,0.7177358490566037,0.6409164160020439,0.6890566037735849,0.3886792452830189,0.34641509433962264,28,44,72,72,0,1.0
F014,F020,0.8252830188679245,0.7058224433035845,0.9667924528301887,0.9864150943396226,0.4420754716981132,28,46,75,74,1,1.0
F014,F021,0.5347169811320756,0.0,0.630943396226415,0.6003773584905661,0.34641509433962264,28,51,79,79,0,1.0
F014,F022,0.7762264150943397,0.7058224433035845,0.8120754716981132,0.8784905660377358,0.4420754716981132,28,46,75,74,1,1.0
F014,F023,0.3679245283018868,0.0,0.23094339622641513,0.07509433962264156,0.2888679245283019,28,25,56,54,2,0.9814814814814815
F014,F024,0.6283018867924528,0.16018035160321933,0.649433962264151,0.3007547169811321,0.5615094339622642,28,29,59,57,2,1.0
F014,F025,0.5509433962264151,0.0,0.7973584905660378,0.659622641509434,0.5615094339622642,28,26,56,54,2,1.0
F014,F026,0.8094339622641509,0.7058224433035845,0.6132075471698113,0.3886792452830189,0.21283018867924525,28,33,63,62,1,0.9838709677419355
F014,F027,0.6550943396226415,0.16018035160321933,0.8883018867924528,0.9592452830188679,0.34641509433962264,28,35,63,63,0,1.0
F014,F028,0.8535849056603774,0.7043643178278647,0.3547169811320755,0.16150943396226414,0.34641509433962264,28,28,56,56,0,1.0
F014,F029,0.5901886792452831,0.16018035160321933,0.6962264150943396,0.659622641509434,0.34641509433962264,28,24,52,52,0,1.0
F014,F030,0.9988679245283019,0.9292451888601003,0.9641509433962264,0.9864150943396226,0.5615094339622642,28,26,56,54,2,1.0
