left,right,consensus
F010,F016,0.242949657316875
F010,F017,0.32148366584147414
F010,F018,0.32148366584147414
F010,F019,0.242949657316875
F010,F020,0.242949657316875
F010,F021,0.0
F010,F022,0.242949657316875
F010,F023,0.0
F010,F024,0.080983219105625
F010,F025,0.0
F010,F026,0.242949657316875
F010,F027,0.080983219105625
F010,F028,0.6171193480136096
F010,F029,0.080983219105625
F010,F030,0.32148366584147414
F010,F031,0.0
F010,F032,0.0
F010,F033,0.242949657316875
F010,F034,0.242949657316875
F010,F035,0.0
F010,F036,0.0
F010,F037,0.0
F010,F038,0.0
F010,F039,0.0
F010,F040,0.0
F010,F041,0.0
F010,F042,0.0
F010,F043,0.0
F010,F044,0.0
F010,F045,0.0
F010,F046,0.0
F010,F047,0.0
F010,F048,0.0
F010,F049,0.0
F010,F050,0.0
F010,F051,0.0
F010,F052,0.0
F011,F012,0.5592700729234237
F011,F013,0.546570044746234
F011,F014,0.7043643178278647
F011,F015,0.7043643178278647
F011,F016,0.4807360643988245
F011,F017,0.5592700729234237
F011,F018,0.5592700729234237
F011,F019,0.4807360643988245
F011,F020,0.4807360643988245
F011,F021,0.0
F011,F022,0.4807360643988245
F011,F023,0.0
F011,F024,0.080983219105625
F011,F025,0.0
F011,F026,0.4807360643988245
F011,F027,0.080983219105625
F011,F028,1.0
F011,F029,0.080983219105625
F011,F030,0.633609506687965
F011,F031,0.0
F011,F032,0.0
F011,F033,0.4807360643988245
F011,F034,0.4807360643988245
F011,F035,0.0
F011,F036,0.0
F011,F037,0.0
F011,F038,0.0
F011,F039,0.0
F011,F040,0.0
F011,F041,0.0
F011,F042,0.0
F011,F043,0.0
F011,F044,0.0
F011,F045,0.0
F011,F046,0.0
F011,F047,0.0
F011,F048,0.0
F011,F049,0.0
F011,F050,0.0
F011,F051,0.0
F011,F052,0.0
F012,F013,0.32148366584147414
F012,F014,0.7843564518281836
F012,F015,0.7843564518281836
F012,F016,0.9214659914754009
F012,F017,0.9294506967326246
F012,F018,1.0
F012,F019,0.7152558497665851
F012,F020,0.9214659914754009
F012,F021,0.0
F012,F022,0.9214659914754009
F012,F023,0.0
F012,F024,0.16018035160321933
F012,F025,0.0
F012,F026,0.9214659914754009
F012,F027,0.16018035160321933
F012,F028,0.5592700729234237
F012,F029,0.16018035160321933
F012,F030,0.8551112629680833
F012,F031,0.0
F012,F032,0.0
F012,F033,0.7152558497665851
F012,F034,0.6342726306609602
F012,F035,0.0
F012,F036,0.0
F012,F037,0.0
F012,F038,0.0
F012,F039,0.0
F012,F040,0.0
F012,F041,0.0
F012,F042,0.0
F012,F043,0.0
F012,F044,0.0
F012,F045,0.0
F012,F046,0.0
F012,F047,0.0
F012,F048,0.0
F012,F049,0.0
F012,F050,0.0
F012,F051,0.0
F012,F052,0.0
F013,F014,0.32148366584147414
F013,F015,0.32148366584147414
F013,F016,0.242949657316875
F013,F017,0.32148366584147414
F013,F018,0.32148366584147414
F013,F019,0.242949657316875
F013,F020,0.242949657316875
F013,F021,0.0
F013,F022,0.242949657316875
F013,F023,0.0
F013,F024,0.080983219105625
F013,F025,0.0
F013,F026,0.242949657316875
F013,F027,0.080983219105625
F013,F028,0.546570044746234
F013,F029,0.080983219105625
F013,F030,0.32148366584147414
F013,F031,0.0
F013,F032,0.0
F013,F033,0.242949657316875
F013,F034,0.242949657316875
F013,F035,0.0
F013,F036,0.0
F013,F037,0.0
F013,F038,0.0
F013,F039,0.0
F013,F040,0.0
F013,F041,0.0
F013,F042,0.0
F013,F043,0.0
F013,F044,0.0
F013,F045,0.0
F013,F046,0.0
F013,F047,0.0
F013,F048,0.0
F013,F049,0.0
F013,F050,0.0
F013,F051,0.0
F013,F052,0.0
F014,F015,1.0
F014,F016,0.7058224433035845
F014,F017,0.854905755095559
F014,F018,0.7843564518281836
F014,F019,0.6409164160020439
F014,F020,0.7058224433035845
F014,F021,0.0
F014,F022,0.7058224433035845
F014,F023,0.0
F014,F024,0.16018035160321933
F014,F025,0.0
F014,F026,0.7058224433035845
F014,F027,0.16018035160321933
F014,F028,0.7043643178278647
F014,F029,0.16018035160321933
F014,F030,0.9292451888601003
F014,F031,0.0
F014,F032,0.0
F014,F033,0.6409164160020439
F014,F034,0.5599331968964188
F014,F035,0.0
F014,F036,0.0
F014,F037,0.0
F014,F038,0.0
F014,F039,0.0
F014,F040,0.0
F014,F041,0.0
F014,F042,0.0
F014,F043,0.0
F014,F044,0.0
F014,F045,0.0
F014,F046,0.0
F014,F047,0.0
F014,F048,0.0
F014,F049,0.0
F014,F050,0.0
F014,F051,0.0
F014,F052,0.0
F015,F016,0.7058224433035845
F015,F017,0.854905755095559
F015,F018,0.7843564518281836
F015,F019,0.6409164160020439
F015,F020,0.7058224433035845
F015,F021,0.0
F015,F022,0.7058224433035845
F015,F023,0.0
F015,F024,0.16018035160321933
F015,F025,0.0
