method,k,facility,cluster,medoid,distance_to_medoid_km
average,7,F034,0,F026,66.0
average,7,F035,3,F021,41.0
average,7,F036,3,F021,26.0
average,7,F037,4,F042,18.0
average,7,F038,5,F051,17.0
average,7,F039,6,F049,36.0
average,7,F040,4,F042,28.0
average,7,F041,5,F051,36.0
average,7,F042,4,F042,0.0
average,7,F043,5,F051,35.0
average,7,F044,5,F051,56.0
average,7,F045,5,F051,32.0
average,7,F046,6,F049,17.0
average,7,F047,6,F049,19.0
average,7,F048,5,F051,33.0
average,7,F049,6,F049,0.0
average,7,F050,4,F042,40.0
average,7,F051,5,F051,0.0
average,7,F052,6,F049,22.0
average,8,F001,0,F026,20.0
average,8,F002,1,F010,56.0
average,8,F003,1,F010,26.0
average,8,F004,1,F010,34.0
average,8,F005,0,F026,31.0
average,8,F006,1,F010,27.0
average,8,F007,1,F010,37.0
average,8,F008,1,F010,19.0
average,8,F009,2,F015,38.0
average,8,F010,1,F010,0.0
average,8,F011,2,F015,31.0
average,8,F012,0,F026,27.0
average,8,F013,3,F013,0.0
average,8,F014,2,F015,27.0
average,8,F015,2,F015,0.0
average,8,F016,0,F026,24.0
average,8,F017,0,F026,53.0
average,8,F018,0,F026,14.0
average,8,F019,0,F026,32.0
average,8,F020,0,F026,37.0
average,8,F021,4,F021,0.0
average,8,F022,0,F026,23.0
average,8,F023,4,F021,60.0
average,8,F024,4,F021,32.0
average,8,F025,4,F021,17.0
average,8,F026,0,F026,0.0
average,8,F027,4,F021,37.0
average,8,F028,2,F015,32.0
average,8,F029,4,F021,17.0
average,8,F030,2,F015,35.0
average,8,F031,4,F021,44.0
average,8,F032,4,F021,66.0
average,8,F033,0,F026,35.0
average,8,F034,0,F026,66.0
average,8,F035,4,F021,41.0
average,8,F036,4,F021,26.0
average,8,F037,5,F042,18.0
average,8,F038,6,F051,17.0
average,8,F039,7,F049,36.0
average,8,F040,5,F042,28.0
average,8,F041,6,F051,36.0
average,8,F042,5,F042,0.0
average,8,F043,6,F051,35.0
average,8,F044,6,F051,56.0
average,8,F045,6,F051,32.0
average,8,F046,7,F049,17.0
average,8,F047,7,F049,19.0
average,8,F048,6,F051,33.0
average,8,F049,7,F049,0.0
average,8,F050,5,F042,40.0
average,8,F051,6,F051,0.0
average,8,F052,7,F049,22.0
